,cluster,dist
565,2,3.059582609540587
566,0,2.3409719394925186
567,2,2.325693244620428
568,1,6.523269527999635
569,0,4.480589299100123
570,0,2.4669273841088306
571,2,2.2804909640168898
572,0,4.100194395125206
573,3,2.938140951322748
574,0,2.7211515612886874
575,2,4.6418689725255655
576,2,3.851443332353268
577,1,3.289624389402865
578,0,1.9647497475760138
579,2,1.7517667334808247
580,3,5.634705195275884
581,1,1.9540333542596204
582,0,2.785995422071103
583,1,5.678991705202733
584,0,2.785995422071103
585,2,4.08116512582954
586,2,3.74076724019931
587,3,1.6514344476435707
588,0,2.6576224857549384
589,3,4.717496420778591
590,1,3.2150671347350026
591,1,4.073311259137366
592,1,3.1056123304268946
593,2,4.056221684680401
594,0,1.9647497475760138
595,3,2.1627879889254467
596,2,4.674658656902278
597,0,1.7454202850716445
598,3,1.9083712110294924
599,2,3.956332915652285
600,1,3.1628800467235547
601,0,1.7159835461365627
602,0,1.5195310452356103
603,1,2.411546372034892
604,1,3.0513146230242136
605,1,3.0607346264121347
606,2,2.282852109602378
607,3,5.688675029112189
608,2,1.6839656571561794
609,0,3.2334725522339425
610,0,1.95304222548999
611,2,3.7104616627415274
612,0,4.58813497069734
613,0,4.122922020140098
614,2,1.4944625986521292
615,2,3.7670342743637595
616,2,2.1329976972747238
617,0,5.050973352634664
618,2,1.7143985666745734
619,2,3.725472146864157
620,0,2.3231604921481415
621,0,1.618541641678493
622,2,3.069400141646784
623,2,1.664409014983363
624,1,2.048860589430434
625,0,1.9061661553847107
626,1,1.9264188967240523
627,2,3.247559706137715
628,3,1.6920579382432128
629,2,2.8841508744597366
630,2,3.9127484282988716
631,1,1.656058434391917
632,2,1.755336607771054
633,3,3.945298452869565
634,3,3.751269195404169
635,0,2.927084219162275
636,2,2.3180788995121646
637,1,3.0607346264121347
638,2,3.096534976660763
639,3,3.90067718292177
640,0,2.464238815580509
641,1,1.6637920756944362
642,2,3.9520056971281057
643,3,4.660374428809053
644,2,2.4496945223354856
645,1,1.7871296769502494
646,1,4.1528428800711055
647,2,1.6380552399499995
648,2,2.2660547908328863
649,1,4.033686337791145
650,1,3.2067239340020306
651,1,3.2156887152736133
652,0,3.193932010914957
653,2,2.2568781291330455
654,0,4.344905490546448
655,1,4.054765445703672
656,1,4.114254983632543
657,3,3.0035012976739766
658,2,2.3365974242884957
659,1,4.026438175185789
660,3,1.9198431715164965
661,2,4.763598964472974
662,0,4.549440198171015
663,2,2.9893229058559507
664,0,1.95304222548999
665,1,3.0659039181615584
666,0,1.827912389184692
667,1,2.2484023206978114
668,1,3.1878749112025715
669,3,4.689824865433857
670,3,2.8833252954075577
671,0,2.0984493623318365
672,0,3.512678681017049
